IP 地址,已发送,已接收,丢包率,平均延迟,下载速度(MB/s),地区码
1.0.0.95,4,2,0.50,217.73,0.00,N/A
104.16.152.176,4,1,0.75,19.96,0.00,N/A
104.16.246.186,4,1,0.75,19.96,0.00,N/A
104.16.252.117,4,1,0.75,19.96,0.00,N/A
104.18.84.51,4,1,0.75,20.00,0.00,N/A
104.19.47.7,4,1,0.75,24.01,0.00,N/A
104.16.254.91,4,1,0.75,26.56,0.00,N/A
104.19.49.28,4,1,0.75,30.00,0.00,N/A
104.19.55.232,4,1,0.75,34.11,0.00,N/A
104.18.86.76,4,1,0.75,34.73,0.00,N/A
104.19.58.150,4,1,0.75,36.50,0.00,N/A
104.17.161.33,4,1,0.75,40.00,0.00,N/A
104.16.148.102,4,1,0.75,41.85,0.00,N/A
172.64.159.180,4,1,0.75,41.86,0.00,N/A
104.19.46.200,4,1,0.75,43.12,0.00,N/A
104.19.62.40,4,1,0.75,44.95,0.00,N/A
104.17.17.136,4,1,0.75,45.25,0.00,N/A
104.19.51.34,4,1,0.75,47.04,0.00,N/A
104.19.60.49,4,1,0.75,47.05,0.00,N/A
104.25.245.245,4,1,0.75,50.00,0.00,N/A
104.17.129.200,4,1,0.75,59.96,0.00,N/A
104.19.59.109,4,1,0.75,60.37,0.00,N/A
104.19.210.173,4,1,0.75,61.63,0.00,N/A
104.25.246.202,4,1,0.75,64.48,0.00,N/A
104.19.222.176,4,1,0.75,67.29,0.00,N/A
104.18.172.80,4,1,0.75,67.97,0.00,N/A
1.1.1.240,4,1,0.75,69.99,0.00,N/A
104.19.219.152,4,1,0.75,69.99,0.00,N/A
1.1.1.237,4,1,0.75,69.99,0.00,N/A
1.1.1.135,4,1,0.75,70.00,0.00,N/A
1.1.1.234,4,1,0.75,70.00,0.00,N/A
1.1.1.231,4,1,0.75,70.00,0.00,N/A
1.1.1.60,4,1,0.75,70.00,0.00,N/A
1.1.1.224,4,1,0.75,70.00,0.00,N/A
1.1.1.85,4,1,0.75,70.00,0.00,N/A
1.1.1.41,4,1,0.75,70.00,0.00,N/A
1.1.1.230,4,1,0.75,70.00,0.00,N/A
1.1.1.249,4,1,0.75,70.01,0.00,N/A
1.1.1.255,4,1,0.75,70.01,0.00,N/A
1.1.1.246,4,1,0.75,70.01,0.00,N/A
104.19.220.94,4,1,0.75,77.04,0.00,N/A
1.1.1.86,4,1,0.75,79.96,0.00,N/A
1.1.1.69,4,1,0.75,79.96,0.00,N/A
1.1.1.81,4,1,0.75,79.96,0.00,N/A
1.1.1.68,4,1,0.75,79.96,0.00,N/A
1.1.1.223,4,1,0.75,79.96,0.00,N/A
1.1.1.35,4,1,0.75,79.99,0.00,N/A
1.1.1.53,4,1,0.75,79.99,0.00,N/A
1.1.1.52,4,1,0.75,79.99,0.00,N/A
1.1.1.57,4,1,0.75,79.99,0.00,N/A
1.1.1.0,4,1,0.75,79.99,0.00,N/A
1.1.1.44,4,1,0.75,79.99,0.00,N/A
1.1.1.239,4,1,0.75,79.99,0.00,N/A
1.1.1.252,4,1,0.75,79.99,0.00,N/A
1.1.1.250,4,1,0.75,79.99,0.00,N/A
1.1.1.247,4,1,0.75,79.99,0.00,N/A
1.1.1.253,4,1,0.75,79.99,0.00,N/A
1.1.1.245,4,1,0.75,79.99,0.00,N/A
1.1.1.136,4,1,0.75,80.00,0.00,N/A
1.1.1.221,4,1,0.75,80.00,0.00,N/A
1.1.1.228,4,1,0.75,80.00,0.00,N/A
1.1.1.181,4,1,0.75,80.00,0.00,N/A
1.1.1.229,4,1,0.75,80.00,0.00,N/A
1.1.1.226,4,1,0.75,80.00,0.00,N/A
104.25.248.16,4,1,0.75,80.00,0.00,N/A
1.1.1.54,4,1,0.75,80.00,0.00,N/A
1.1.1.47,4,1,0.75,80.00,0.00,N/A
1.1.1.243,4,1,0.75,80.00,0.00,N/A
1.1.1.73,4,1,0.75,80.02,0.00,N/A
1.1.1.30,4,1,0.75,82.50,0.00,N/A
1.1.1.18,4,1,0.75,84.91,0.00,N/A
104.19.223.126,4,1,0.75,87.65,0.00,N/A
104.25.255.63,4,1,0.75,87.82,0.00,N/A
1.1.1.64,4,1,0.75,89.96,0.00,N/A
1.1.1.62,4,1,0.75,89.96,0.00,N/A
1.1.1.72,4,1,0.75,89.96,0.00,N/A
1.1.1.133,4,1,0.75,89.99,0.00,N/A
1.1.1.134,4,1,0.75,89.99,0.00,N/A
1.1.1.45,4,1,0.75,89.99,0.00,N/A
1.1.1.66,4,1,0.75,89.99,0.00,N/A
1.1.1.55,4,1,0.75,89.99,0.00,N/A
1.1.1.48,4,1,0.75,89.99,0.00,N/A
1.1.1.49,4,1,0.75,89.99,0.00,N/A
1.1.1.61,4,1,0.75,89.99,0.00,N/A
1.1.1.39,4,1,0.75,89.99,0.00,N/A
1.1.1.40,4,1,0.75,89.99,0.00,N/A
1.1.1.38,4,1,0.75,89.99,0.00,N/A
1.1.1.42,4,1,0.75,89.99,0.00,N/A
1.1.1.242,4,1,0.75,89.99,0.00,N/A
1.1.1.241,4,1,0.75,89.99,0.00,N/A
1.1.1.33,4,1,0.75,90.00,0.00,N/A
1.1.1.32,4,1,0.75,90.00,0.00,N/A
1.1.1.31,4,1,0.75,90.00,0.00,N/A
1.1.1.233,4,1,0.75,90.00,0.00,N/A
1.1.1.254,4,1,0.75,90.00,0.00,N/A
1.1.1.248,4,1,0.75,90.00,0.00,N/A
1.1.1.251,4,1,0.75,90.00,0.00,N/A
1.1.1.236,4,1,0.75,90.01,0.00,N/A
1.1.1.238,4,1,0.75,90.01,0.00,N/A
1.1.1.84,4,1,0.75,90.04,0.00,N/A
1.1.1.78,4,1,0.75,90.04,0.00,N/A
1.1.1.79,4,1,0.75,90.04,0.00,N/A
1.1.1.206,4,1,0.75,93.87,0.00,N/A
1.1.1.14,4,1,0.75,98.05,0.00,N/A
1.1.1.36,4,1,0.75,99.99,0.00,N/A
1.1.1.37,4,1,0.75,99.99,0.00,N/A
1.1.1.227,4,1,0.75,99.99,0.00,N/A
1.1.1.132,4,1,0.75,100.00,0.00,N/A
1.1.1.71,4,1,0.75,100.00,0.00,N/A
1.1.1.80,4,1,0.75,100.00,0.00,N/A
1.1.1.222,4,1,0.75,100.00,0.00,N/A
1.1.1.225,4,1,0.75,100.00,0.00,N/A
1.1.1.51,4,1,0.75,100.00,0.00,N/A
1.1.1.46,4,1,0.75,100.00,0.00,N/A
1.1.1.58,4,1,0.75,100.00,0.00,N/A
1.1.1.59,4,1,0.75,100.00,0.00,N/A
1.1.1.50,4,1,0.75,100.00,0.00,N/A
1.1.1.43,4,1,0.75,100.00,0.00,N/A
1.1.1.208,4,1,0.75,100.03,0.00,N/A
104.19.212.157,4,1,0.75,104.76,0.00,N/A
1.1.1.65,4,1,0.75,109.99,0.00,N/A
1.1.1.56,4,1,0.75,109.99,0.00,N/A
1.1.1.63,4,1,0.75,109.99,0.00,N/A
1.1.1.70,4,1,0.75,110.04,0.00,N/A
104.16.208.179,4,1,0.75,169.42,0.00,N/A
104.16.209.126,4,1,0.75,170.00,0.00,N/A
104.27.70.72,4,1,0.75,170.00,0.00,N/A
104.16.109.6,4,1,0.75,170.00,0.00,N/A
172.67.187.39,4,1,0.75,170.00,0.00,N/A
104.27.65.150,4,1,0.75,170.00,0.00,N/A
104.25.112.254,4,1,0.75,170.00,0.00,N/A
170.114.45.222,4,1,0.75,170.01,0.00,N/A
209.46.30.185,4,1,0.75,170.01,0.00,N/A
104.16.227.187,4,1,0.75,170.04,0.00,N/A
89.116.180.248,4,1,0.75,170.04,0.00,N/A
45.80.111.103,4,1,0.75,172.94,0.00,N/A
104.24.139.10,4,1,0.75,175.02,0.00,N/A
77.37.33.225,4,1,0.75,175.93,0.00,N/A
104.19.85.175,4,1,0.75,177.49,0.00,N/A
104.18.99.16,4,1,0.75,177.63,0.00,N/A
104.19.122.66,4,1,0.75,178.23,0.00,N/A
104.27.61.39,4,1,0.75,178.56,0.00,N/A
104.17.234.131,4,1,0.75,178.96,0.00,N/A
104.24.214.101,4,1,0.75,179.13,0.00,N/A
1.0.0.217,4,1,0.75,179.65,0.00,N/A
172.67.190.195,4,1,0.75,179.96,0.00,N/A
162.159.34.24,4,1,0.75,179.96,0.00,N/A
104.27.63.87,4,1,0.75,179.96,0.00,N/A
104.25.109.198,4,1,0.75,179.96,0.00,N/A
104.16.125.181,4,1,0.75,179.96,0.00,N/A
104.19.202.203,4,1,0.75,179.96,0.00,N/A
1.0.0.239,4,1,0.75,179.96,0.00,N/A
1.0.0.242,4,1,0.75,179.96,0.00,N/A
1.0.0.144,4,1,0.75,179.96,0.00,N/A
1.0.0.160,4,1,0.75,179.96,0.00,N/A
1.0.0.143,4,1,0.75,179.96,0.00,N/A
104.19.251.0,4,1,0.75,179.97,0.00,N/A
104.19.177.39,4,1,0.75,179.97,0.00,N/A
104.25.117.7,4,1,0.75,179.98,0.00,N/A
1.0.0.102,4,1,0.75,179.99,0.00,N/A
1.0.0.100,4,1,0.75,179.99,0.00,N/A
1.0.0.158,4,1,0.75,179.99,0.00,N/A
104.16.219.113,4,1,0.75,179.99,0.00,N/A
203.24.103.76,4,1,0.75,179.99,0.00,N/A
104.24.207.68,4,1,0.75,180.00,0.00,N/A
104.21.125.0,4,1,0.75,180.00,0.00,N/A
104.17.14.181,4,1,0.75,180.00,0.00,N/A
104.18.192.24,4,1,0.75,180.00,0.00,N/A
1.0.0.97,4,1,0.75,180.00,0.00,N/A
1.0.0.132,4,1,0.75,180.00,0.00,N/A
1.0.0.90,4,1,0.75,180.00,0.00,N/A
1.0.0.5,4,1,0.75,180.00,0.00,N/A
104.24.72.233,4,1,0.75,180.00,0.00,N/A
1.0.0.114,4,1,0.75,180.00,0.00,N/A
1.0.0.117,4,1,0.75,180.00,0.00,N/A
185.162.228.176,4,1,0.75,180.00,0.00,N/A
104.16.104.9,4,1,0.75,180.00,0.00,N/A
1.0.0.252,4,1,0.75,180.00,0.00,N/A
104.18.195.84,4,1,0.75,180.00,0.00,N/A
104.19.213.242,4,1,0.75,180.00,0.00,N/A
104.27.194.253,4,1,0.75,180.00,0.00,N/A
185.148.106.219,4,1,0.75,180.00,0.00,N/A
104.25.125.188,4,1,0.75,180.00,0.00,N/A
104.16.224.22,4,1,0.75,180.00,0.00,N/A
104.16.225.30,4,1,0.75,180.00,0.00,N/A
104.16.143.252,4,1,0.75,180.00,0.00,N/A
77.75.199.48,4,1,0.75,180.02,0.00,N/A
104.25.128.136,4,1,0.75,180.03,0.00,N/A
104.16.120.66,4,1,0.75,180.03,0.00,N/A
104.17.10.3,4,1,0.75,180.03,0.00,N/A
198.41.199.121,4,1,0.75,180.83,0.00,N/A
198.41.193.232,4,1,0.75,181.06,0.00,N/A
104.19.209.184,4,1,0.75,181.79,0.00,N/A
104.24.220.185,4,1,0.75,181.79,0.00,N/A
104.24.174.75,4,1,0.75,181.86,0.00,N/A
198.41.201.186,4,1,0.75,182.09,0.00,N/A
1.0.0.240,4,1,0.75,182.35,0.00,N/A
104.17.9.155,4,1,0.75,182.48,0.00,N/A
104.16.197.101,4,1,0.75,182.55,0.00,N/A
104.16.203.87,4,1,0.75,182.64,0.00,N/A
1.0.0.115,4,1,0.75,182.78,0.00,N/A
104.19.207.5,4,1,0.75,182.98,0.00,N/A
1.0.0.237,4,1,0.75,183.27,0.00,N/A
104.19.206.222,4,1,0.75,183.67,0.00,N/A
104.16.107.173,4,1,0.75,183.81,0.00,N/A
1.0.0.134,4,1,0.75,183.94,0.00,N/A
1.0.0.0,4,1,0.75,183.96,0.00,N/A
1.0.0.110,4,1,0.75,184.04,0.00,N/A
104.25.51.24,4,1,0.75,184.08,0.00,N/A
172.64.35.82,4,1,0.75,184.46,0.00,N/A
1.0.0.162,4,1,0.75,184.79,0.00,N/A
1.0.0.216,4,1,0.75,184.89,0.00,N/A
77.232.140.204,4,1,0.75,184.98,0.00,N/A
104.25.110.241,4,1,0.75,185.12,0.00,N/A
104.24.255.124,4,1,0.75,185.19,0.00,N/A
172.64.32.200,4,1,0.75,185.19,0.00,N/A
104.16.119.74,4,1,0.75,185.23,0.00,N/A
104.19.92.210,4,1,0.75,185.46,0.00,N/A
162.159.213.72,4,1,0.75,185.59,0.00,N/A
1.0.0.234,4,1,0.75,185.64,0.00,N/A
1.0.0.241,4,1,0.75,185.64,0.00,N/A
77.74.228.214,4,1,0.75,185.88,0.00,N/A
185.159.247.213,4,1,0.75,185.91,0.00,N/A
1.0.0.221,4,1,0.75,185.98,0.00,N/A
1.0.0.126,4,1,0.75,186.07,0.00,N/A
104.25.237.230,4,1,0.75,186.09,0.00,N/A
104.25.1.71,4,1,0.75,186.11,0.00,N/A
1.0.0.235,4,1,0.75,186.25,0.00,N/A
104.24.242.120,4,1,0.75,186.38,0.00,N/A
1.0.0.128,4,1,0.75,186.61,0.00,N/A
1.0.0.230,4,1,0.75,186.81,0.00,N/A
104.27.50.138,4,1,0.75,186.86,0.00,N/A
104.24.217.40,4,1,0.75,187.05,0.00,N/A
104.27.79.155,4,1,0.75,187.07,0.00,N/A
198.41.219.115,4,1,0.75,187.17,0.00,N/A
104.24.195.223,4,1,0.75,187.22,0.00,N/A
162.159.10.247,4,1,0.75,187.24,0.00,N/A
172.64.67.190,4,1,0.75,187.25,0.00,N/A
104.27.64.55,4,1,0.75,187.51,0.00,N/A
199.181.197.149,4,1,0.75,187.74,0.00,N/A
1.0.0.190,4,1,0.75,187.80,0.00,N/A
162.159.9.125,4,1,0.75,188.19,0.00,N/A
1.0.0.233,4,1,0.75,188.27,0.00,N/A
172.67.191.61,4,1,0.75,188.29,0.00,N/A
1.0.0.245,4,1,0.75,188.42,0.00,N/A
